,Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Federated States of Micronesia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Marshall Islands,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York State,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Republic of Palau,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming,United States
2021-01-26,30254,2593,N/A,22134,5918,216417,50972,66273,12128,2933,N/A,195837,44556,N/A,8642,8914,116966,44797,54571,38716,47807,34275,17321,N/A,48166,114329,80147,50969,17084,53911,7574,33091,21916,22993,94167,12705,183501,70777,3508,N/A,167668,28467,34440,144991,15275,N/A,15666,36674,6389,34715,201910,23844,8825,N/A,74271,45430,N/A,36819,2460,2725830
2021-01-27,33068,2674,N/A,24774,8666,233149,54049,69093,13758,3121,N/A,201608,48241,N/A,9267,9744,127373,47308,57530,40674,49540,37764,18600,N/A,50731,120919,88301,54738,18271,57358,8410,35780,24282,23900,99502,13557,193310,76093,3640,N/A,176469,29828,36307,155570,17397,N/A,16873,39572,6784,36843,213071,24919,9020,N/A,80424,48058,N/A,40517,2520,2904840
2021-01-28,36158,2813,N/A,27896,11900,251601,56970,72046,15727,3129,N/A,208397,51968,N/A,9798,10433,139063,50011,60606,42865,51713,40501,20042,N/A,55113,129462,95810,58908,19539,61405,9017,38156,26711,24927,105628,13988,203441,82431,3710,N/A,186005,31591,38355,167410,19836,N/A,18063,43178,7081,39561,226779,26018,9445,N/A,86424,51400,N/A,44267,2566,3102134
2021-01-29,38616,2904,N/A,31506,14587,270428,61109,76352,17840,3134,N/A,215265,55241,N/A,10667,11260,150942,52769,65390,45852,54217,43156,21198,N/A,58747,138250,103862,63031,20803,64532,9387,39481,28956,26347,112686,15690,215373,88545,3834,N/A,197403,33911,41560,178261,22511,N/A,19752,46977,7640,43120,242489,27189,10105,N/A,92467,54523,N/A,49140,2827,3314266
2021-01-30,41123,3157,N/A,34434,15831,288869,64371,80831,20287,3136,N/A,220670,58708,N/A,11125,11943,162860,55467,68628,48407,57008,46225,22111,N/A,62848,146016,110702,66622,22254,67489,9993,40615,31577,27477,118097,16950,225905,91606,3993,N/A,209008,36035,44011,189512,25166,N/A,20898,48211,8109,44975,258971,28015,10559,N/A,97889,58448,N/A,52787,3004,3505431
2021-01-31,42739,3396,N/A,37189,16474,306699,67921,84407,21285,3148,N/A,225388,61321,N/A,11343,12861,173979,57488,71492,51596,60112,49157,23454,N/A,66671,153998,116586,69490,24566,68825,10852,42117,34580,28718,124339,17111,235934,93272,4241,N/A,219860,37645,46766,199906,27803,N/A,22145,48788,8832,46996,272899,30491,11176,N/A,103140,62318,N/A,56263,3249,3683718
2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,42998,3547,N/A,39991,16927,324162,70564,87603,21800,3378,N/A,230030,62443,N/A,12757,13270,185208,60321,75506,53536,62627,51445,23940,N/A,70148,163414,119975,73681,25366,70207,11935,43220,36451,29992,133065,17722,242050,96632,4708,N/A,229960,39587,50404,212327,29595,N/A,23339,50353,8933,47869,286784,31840,11309,N/A,107345,66287,N/A,58736,3388,3851460
2021-02-03,45487,3601,N/A,42214,17551,348056,74292,89515,22691,3567,N/A,239647,66059,N/A,13377,14261,195000,63054,78649,56134,64741,54245,24566,N/A,72559,170004,127368,75858,26777,73309,12181,44176,37307,31283,135904,18491,247086,101624,4833,N/A,240000,40699,52281,219033,31357,N/A,24125,53135,9554,50756,299527,33520,11668,N/A,111162,69976,N/A,63618,3581,4022407
2021-02-04,47911,3815,N/A,45778,18004,367460,77679,92142,23305,3935,N/A,250171,70005,N/A,13776,14996,204924,66402,81732,58948,67613,56890,24694,N/A,76433,178153,135218,78680,28668,77165,12688,45454,38195,31659,139979,19141,252462,108253,5007,N/A,249036,42541,54810,228929,33471,N/A,25415,56511,9782,53858,314345,35355,12104,N/A,116496,73755,N/A,69105,3965,4210027
2021-02-05,50575,3982,N/A,48615,18602,390804,81950,94584,23898,4428,N/A,262761,74164,N/A,14246,15645,214949,69774,84918,62328,69880,60955,26144,N/A,82736,186795,143221,82710,30647,81349,13113,46779,39871,33255,147529,19955,259792,114456,5241,N/A,258801,43728,58485,240360,35513,N/A,26556,60384,10049,56327,327434,36547,12637,N/A,122871,77568,N/A,73882,4198,4419633
2021-02-06,52506,4066,N/A,51588,19249,413338,84996,96925,24526,5006,N/A,274117,78089,N/A,15150,16775,229019,73035,89878,65516,71765,64590,27308,N/A,86425,195450,151096,86196,32528,84437,13875,47499,42013,33745,154891,21409,269637,120975,5414,N/A,270256,45453,61453,250069,37768,N/A,27888,63915,10265,58664,339800,38227,13241,N/A,129233,81717,N/A,79528,4261,4628962
2021-02-07,54342,4305,N/A,54507,19878,437668,88756,99458,25331,5175,N/A,285319,80703,N/A,15823,17313,244337,76571,95091,68146,73875,67799,28376,N/A,90949,205203,158816,89365,34141,87089,14558,48260,45073,34748,160533,22266,281170,125948,5468,N/A,279163,46396,64699,258894,40087,N/A,28572,67254,10529,61273,356160,40040,13790,N/A,135569,85349,N/A,85470,4467,4839144
2021-02-08,54792,4380,N/A,55654,20260,452904,91094,101254,25344,5336,N/A,291702,81525,N/A,16282,17685,253920,77527,98482,69245,74783,68951,28595,N/A,93790,211245,160300,91582,34635,88430,15075,48772,46491,34995,164776,22822,284134,128134,5504,N/A,284775,47598,66759,263429,41103,N/A,29171,68063,10537,61482,363254,41482,14123,N/A,138396,87824,N/A,87829,4482,4946483
2021-02-09,55073,4497,N/A,55867,20381,462518,92013,102465,25421,5435,N/A,296923,82323,N/A,16781,17862,260111,78245,101001,69613,75209,69775,28697,N/A,96861,215983,161474,92383,34680,89304,15229,49000,46926,35232,168170,23380,286712,129526,5547,N/A,287146,47998,68230,266621,41477,N/A,29539,68564,10539,61547,366667,42302,14412,N/A,139971,89491,N/A,89494,4483,5015224
2021-02-10,56610,4642,N/A,58961,20813,477862,94899,104844,26156,5763,N/A,305736,85210,N/A,17257,18560,270769,82420,105830,71617,76636,73147,29334,N/A,100006,221940,168382,95016,35692,93154,15741,50244,49337,35885,172856,24450,295481,135317,5776,N/A,292016,49002,71397,274133,43000,N/A,30524,71228,10730,64867,374570,43380,14793,N/A,143775,92429,N/A,92699,4598,5176499
2021-02-11,59277,4737,N/A,61982,21153,492934,97530,107441,26835,6104,N/A,317220,88535,N/A,17487,19282,281760,85744,109287,73616,77823,75959,30083,N/A,103305,227855,175140,99139,37131,97110,16303,51419,50930,36941,177629,25760,306795,142227,5827,N/A,299338,50631,74327,280590,44154,N/A,31935,73015,10883,67996,382140,45431,15274,N/A,147896,96251,N/A,97395,5001,5348775
2021-02-12,61574,4874,N/A,64271,21737,509962,100710,110016,27342,6351,N/A,329177,91662,N/A,17912,19904,290474,89448,112074,74940,78881,78512,30752,N/A,106938,232773,181562,102320,38459,101381,16528,52183,52517,37394,181842,26756,313297,148534,5870,N/A,306361,51904,77110,287673,45462,N/A,33109,75396,10996,71538,388555,46855,15623,N/A,151892,100360,N/A,101406,5277,5507785
2021-02-13,63499,5152,N/A,66217,22031,528507,104187,111581,28250,6664,N/A,341665,94297,N/A,18540,20540,298992,92141,115059,76087,79773,81220,31318,N/A,110870,239065,189055,106692,39833,105906,16942,52609,53661,38634,187098,27379,320878,153663,5930,N/A,311702,52570,79373,295924,46566,N/A,33970,77835,11201,73925,393612,48031,16230,N/A,155244,105349,N/A,106177,5309,5667091
2021-02-14,65442,5307,N/A,69460,22354,543458,107370,114385,28606,6993,N/A,352904,97148,N/A,18774,21159,309340,95250,117932,77601,81675,83621,31551,N/A,113986,243912,194859,110632,41348,108715,17242,53123,55205,39698,191010,29021,329859,161974,5946,N/A,315988,53773,81405,303032,48940,N/A,34591,79963,11251,76987,397545,49066,16743,N/A,158054,110024,N/A,110947,5853,5822871
2021-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,66205,5413,N/A,71179,22524,560793,110246,116919,29110,7076,N/A,357145,98928,N/A,19034,21506,320545,96823,120149,79138,83528,85285,32001,N/A,118797,252013,196944,116723,41856,110467,18003,53338,57003,40894,197621,30516,339474,169400,6053,N/A,318992,55006,82509,313538,51504,N/A,36369,81150,11590,77332,402168,49622,17340,N/A,162673,112707,N/A,114098,5934,5968542
2021-02-17,66984,5529,N/A,72729,22527,574836,112263,118492,29411,7229,N/A,359578,100979,N/A,19132,22231,326355,99677,121705,79907,84026,85414,32552,N/A,121393,256763,203362,120613,42022,112603,18444,53821,58552,41349,200831,31278,346118,173776,6090,N/A,322197,55009,83995,319567,52821,N/A,37430,82167,11680,78178,402562,50279,17571,N/A,166653,115710,N/A,116419,5967,6070341
2021-02-18,67697,5670,N/A,75730,22532,591567,114020,119716,29672,7237,N/A,361849,103064,N/A,19372,22671,332824,102447,123528,80713,84547,85753,33147,N/A,125348,261509,209944,124790,42194,115895,18864,54203,60096,41652,204611,31696,352718,177806,6100,N/A,325022,55230,86046,326457,53983,N/A,38346,83929,11740,79227,403247,50606,17940,N/A,170312,119095,N/A,119812,6025,6181996
2021-02-19,68894,5754,N/A,78835,22648,608673,115016,121220,30001,7246,N/A,364214,104750,N/A,19583,23157,338868,105629,126222,81612,85159,86960,33528,N/A,127724,265803,215539,128755,42637,119145,19221,54473,61538,42144,207176,32464,358305,181529,6134,N/A,328698,55474,88447,332248,54983,N/A,39447,85663,11826,80798,403917,50963,18091,N/A,173651,121180,N/A,122917,6092,6289188
2021-02-20,70277,5872,N/A,81696,22650,624835,116884,122794,30433,7247,N/A,366065,106858,N/A,19982,23639,345216,108562,127792,82757,85820,89265,33958,N/A,129582,271356,222394,132612,42761,124034,19503,54803,63017,42306,209142,32973,364396,184739,6153,N/A,332377,56215,90612,336805,56463,N/A,40501,86769,11887,81941,405249,51303,18591,N/A,176888,124406,N/A,125968,6220,6399010
2021-02-21,71530,6042,N/A,84667,22875,639929,118831,124008,30757,7293,N/A,368485,108325,N/A,20176,24098,351814,111740,128837,83814,86790,91212,34321,N/A,133125,277468,228238,136484,43701,128223,19779,55104,65170,43112,212342,33924,370731,187861,6222,N/A,335513,57234,93438,343695,58744,N/A,41260,88456,12026,83561,409105,51724,19098,N/A,180893,127074,N/A,129571,6329,6519848
2021-02-22,71599,6076,N/A,85333,22880,649326,119394,124520,30895,7393,N/A,369058,108597,N/A,20179,24383,355564,112148,129503,84119,87269,92243,34439,N/A,136155,281535,229164,138369,44153,129834,19874,55305,66079,43567,214875,34313,373320,188649,6325,N/A,336748,58312,94588,348880,59617,N/A,42137,89300,12033,83880,413022,51884,19201,N/A,182761,128934,N/A,129926,6351,6579236
2021-02-23,71652,6105,N/A,85908,23004,657103,119700,125125,31084,7453,N/A,370303,108996,N/A,20191,24420,358186,112792,130035,84283,87616,93040,34477,N/A,138488,284131,229900,139787,44370,130866,19958,55372,66473,43839,217623,34363,375091,189173,6326,N/A,337779,58842,95562,353578,60101,N/A,42661,89799,12034,84081,416593,52178,19275,N/A,184364,131502,N/A,130526,6372,6627820
2021-02-24,73090,6120,N/A,88327,23824,672044,120648,125466,31435,7476,N/A,372726,110569,N/A,20420,24966,364561,114602,130919,85117,88198,96185,34765,N/A,140963,286940,234397,142097,45912,134049,20084,55477,67648,44221,219827,34848,376838,191571,6365,N/A,340072,59692,97088,359443,61693,N/A,43228,91379,12171,86444,422180,52575,19455,N/A,186444,133944,N/A,133740,6406,6724310
2021-02-25,74489,6126,N/A,91509,25637,684641,121546,125907,32492,7476,N/A,375040,111742,N/A,20647,25401,369406,116625,131395,85733,89386,98664,34818,N/A,143710,289859,238692,145019,47003,136147,20328,55831,68909,44784,221830,34932,378838,193949,6371,N/A,342008,61035,98716,364314,63940,N/A,43877,92859,12219,89136,427854,53046,19520,N/A,188619,136332,N/A,136811,6455,6817460
2021-02-26,75916,6202,N/A,94527,27077,700922,122773,126684,33809,7510,N/A,377784,113784,N/A,20915,25698,375354,118440,132132,86353,90706,101342,35311,N/A,148133,292594,244405,147563,48187,138579,20503,56017,70056,45529,224459,35871,382645,198176,6397,N/A,344046,62007,101819,370375,66273,N/A,45007,94534,12256,91690,434941,53434,19850,N/A,191376,139075,N/A,141539,6509,6933071
2021-02-27,76683,6328,N/A,97730,27893,717555,123517,127568,35020,7570,N/A,380219,115774,N/A,21161,26210,382100,120705,133027,86923,92109,103924,36025,N/A,152511,295641,248739,151246,49335,140949,20588,56267,71096,45822,226372,36724,385993,201079,6442,N/A,346712,62705,104391,376927,69116,N/A,46440,95847,12363,93520,440672,53895,20111,N/A,194321,141337,N/A,145620,6626,7043540
2021-02-28,77221,6334,N/A,100245,28001,730233,123927,128061,35097,7649,N/A,382313,116307,N/A,21309,26275,385689,122295,133904,87355,92466,105260,36225,N/A,155501,297771,251811,153481,49846,141832,20637,56343,71555,46313,228018,36745,387264,202200,6449,N/A,348224,62852,106280,382782,69739,N/A,46994,95977,12415,95301,444982,54173,20232,N/A,196144,143234,N/A,148533,6651,7112537
2021-03-01,77355,6343,N/A,101638,28039,740116,124257,128407,35102,7649,N/A,383773,116558,N/A,21481,26319,388996,122887,134319,87486,92505,105539,36287,N/A,157197,299038,252838,154589,50045,142124,20683,56463,71802,46346,229348,36825,388330,202497,6449,N/A,348966,63069,107632,387058,69979,N/A,47419,96526,12415,95541,447156,54298,20349,N/A,197480,144691,N/A,149579,6651,7154531
2021-03-02,77434,6346,N/A,102230,28084,743328,124448,128606,35133,7678,N/A,385199,116804,N/A,21657,26324,390482,123351,134635,87541,92607,105803,36308,N/A,159639,300678,253356,155038,50049,142315,20684,56505,71827,46428,230338,36874,388955,203098,6461,N/A,349179,63105,108865,389781,70055,N/A,47554,96850,12416,95696,448036,54398,20370,N/A,197850,145539,N/A,149935,6652,7178616
2021-03-03,77816,6353,N/A,103325,28120,748574,125164,128930,35231,7708,N/A,386024,117349,N/A,21857,26344,392489,124460,135118,88323,92855,106315,36417,N/A,161983,302367,255536,155898,50301,143035,20750,56697,71959,46501,231636,37011,390002,204398,6496,N/A,350103,63217,110306,392453,70470,N/A,47852,97524,12427,96985,449788,54536,20501,N/A,198374,146110,N/A,151898,6677,7218655
2021-03-04,78381,6357,N/A,105179,28194,753982,125886,129382,35315,7783,N/A,387175,118016,N/A,21882,26410,395069,126015,135264,88698,93394,107067,36581,N/A,164887,304011,257788,157040,50557,144052,20904,56737,72028,46692,232998,37118,390885,206207,6502,N/A,350643,63298,111338,395040,70822,N/A,48221,97954,12427,97762,451794,54689,20540,N/A,198912,147550,N/A,153881,6705,7262104
2021-03-05,78823,6366,N/A,106581,28267,759327,126540,129658,35365,7905,N/A,389090,118653,N/A,21918,26444,397620,127443,135699,88832,93497,107669,36876,N/A,167906,305426,260075,158534,50854,144939,20964,56953,72186,46764,234405,37298,391815,208038,6503,N/A,351837,63442,112329,397126,71288,N/A,48826,98814,12427,98570,453374,54852,20746,N/A,199386,148874,N/A,156453,6706,7306425
2021-03-06,79353,6398,N/A,108014,28371,764873,127009,130320,35467,8051,N/A,391335,119297,N/A,22000,26464,400335,128451,135971,88974,93738,108152,37154,N/A,170184,306711,262284,160031,51008,145511,20992,57031,72319,47137,236113,37407,393243,209387,6517,N/A,352632,63523,113311,399924,71619,N/A,48977,99371,12458,99535,455376,54979,20842,N/A,200157,150313,N/A,158010,6724,7349495
2021-03-07,79852,6533,N/A,109562,28403,770530,127325,130714,35519,8161,N/A,392801,119927,N/A,22155,26501,403155,129513,136205,89151,93784,108527,37378,N/A,171798,307826,264550,161301,51193,146343,21058,57057,72473,47400,237267,37494,394739,210805,6531,N/A,353079,63689,113705,402529,71844,N/A,49196,100132,12467,100106,457323,55061,20954,N/A,200545,152054,N/A,159998,6747,7389102
2021-03-08,79872,6538,N/A,110195,28457,773299,127440,130819,35538,8206,N/A,393358,120153,N/A,22205,26523,404178,129979,136433,89172,93862,108752,37425,N/A,172906,308342,265040,162086,51210,146717,21165,57073,72665,47433,238105,37638,395132,211252,6536,N/A,353341,63861,113858,403313,71967,N/A,49420,100291,12467,100130,457718,55097,20996,N/A,201140,152759,N/A,160864,6748,7405816
2021-03-09,79924,6540,N/A,110252,28483,775566,127608,130939,35547,8244,N/A,393414,120294,N/A,22291,26523,404821,130355,136478,89175,93885,108888,37434,N/A,173800,309340,265575,162365,51217,146906,21174,57074,72669,47445,238749,37734,395536,211618,6538,N/A,353585,63894,114247,404447,72080,N/A,49694,100508,12467,100160,457890,55129,21057,N/A,201633,153581,N/A,161577,6748,7419240
2021-03-10,80092,6548,N/A,112053,28556,780039,127831,131093,35550,8351,N/A,393619,120526,N/A,22350,26580,405845,131246,136617,89206,93944,109426,37479,N/A,174987,310352,267842,163217,51248,147591,21201,57078,72702,47519,239496,37912,396383,212886,6546,N/A,354012,63943,114573,406007,72183,N/A,49787,101118,12467,100645,458246,55139,21108,N/A,202077,154509,N/A,163183,6748,7445798
2021-03-11,80274,6559,N/A,113716,28606,784996,127935,131176,35600,8466,N/A,393878,120870,N/A,22393,26602,407236,132152,136737,89267,93973,109839,37493,N/A,176012,311202,269577,164237,51274,148405,21212,57214,72738,47554,240452,38132,397158,214473,6546,N/A,354169,64064,114878,407561,72422,N/A,49836,101618,12467,101353,458613,55186,21167,N/A,202676,155200,N/A,165538,6753,7473597
2021-03-12,80362,6574,N/A,115090,28725,789946,128119,131329,35616,8482,N/A,394007,121107,N/A,22464,26620,408358,133059,137060,89314,93995,110287,37534,N/A,176759,311923,272112,164998,51357,149272,21295,57218,72789,47594,240878,38230,398146,216294,6546,N/A,354419,64081,115161,408843,72521,N/A,49960,102126,12472,102086,458790,55198,21195,N/A,203178,156169,N/A,167262,6760,7499822
2021-03-13,80859,6575,N/A,116793,28813,798554,128248,131456,35791,8551,N/A,394290,121441,N/A,22539,26646,409800,134618,137169,89385,94135,110875,37543,N/A,178049,313498,274542,166458,51585,150535,21320,57238,72898,47599,241351,38361,399506,218506,6548,N/A,355103,64290,115446,410711,72564,N/A,50066,103416,12476,102794,459165,55198,21257,N/A,204001,157321,N/A,170198,6762,7538985
2021-03-14,80973,6580,N/A,116868,28813,799014,128356,131495,35797,8572,N/A,394299,121572,N/A,22540,26650,410315,134847,137282,89411,94136,111087,37569,N/A,178415,314033,275460,166674,51601,150729,21332,57238,72940,47609,241715,38377,399813,218907,6548,N/A,355178,64316,115657,411282,72736,N/A,50091,103545,12476,103085,459255,55202,21306,N/A,204381,157466,N/A,171030,6762,7547477
2021-03-15,80993,6580,N/A,117437,28880,801175,128374,131538,35841,8572,N/A,394340,121595,N/A,22540,26650,411022,135034,137316,89416,94142,111173,37577,N/A,179041,314927,275821,167203,51601,150906,21334,57243,72943,47610,242261,38454,400447,219368,6569,N/A,355331,64383,115810,412083,72765,N/A,50262,103621,12486,103093,459553,55203,21359,N/A,204658,158438,N/A,171314,6770,7559194
2021-03-16,80996,6580,N/A,117444,28880,803189,128382,131571,35848,8639,N/A,394523,121612,N/A,22569,26651,411717,135388,137320,89423,94147,111259,37583,N/A,179656,315463,276121,167654,51622,151059,21334,57244,72974,47610,242489,38511,400669,219999,6569,N/A,355623,64411,115889,413200,72895,N/A,50323,103794,12486,103136,459674,55206,21404,N/A,204770,159105,N/A,171597,6770,7569120
2021-03-17,81154,6580,N/A,118278,28899,807022,128520,131597,35872,8662,N/A,394569,121690,N/A,22616,26652,412580,136012,137361,89469,94214,111456,37598,N/A,180276,315687,277599,168067,51846,151507,21334,57246,72992,47611,242669,38623,401135,220937,6569,N/A,355852,64474,115970,414571,72923,N/A,50423,104042,12486,103410,460109,55209,21406,N/A,204973,159773,N/A,172503,6771,7585936
2021-03-18,81679,6580,N/A,119228,28900,812892,128758,131602,35899,8672,N/A,394620,121743,N/A,24241,26791,413273,136385,137379,89667,94218,111610,37629,N/A,181074,315830,278912,168607,51879,152242,21340,57247,73032,47612,242951,38857,401589,221816,6569,N/A,356193,64631,116143,415602,72963,N/A,50622,104561,12486,103602,460371,55209,21523,N/A,212140,160113,N/A,173758,6771,7614153
2021-03-19,81827,6580,N/A,120021,28910,816003,128805,131615,35922,8674,N/A,394674,121785,N/A,24275,26795,413951,137007,137422,89692,94224,111797,37645,N/A,182112,315985,280217,169553,51921,153052,21348,57272,73035,47613,243301,38918,401725,222830,6569,N/A,356360,64654,116390,416704,73058,N/A,50720,105041,12486,103977,460728,55210,21523,N/A,212332,160732,N/A,174803,6771,7630706
2021-03-20,82099,6581,N/A,120620,28910,818785,128891,131811,35997,8677,N/A,394707,121857,N/A,24376,26797,414785,137472,137467,89695,94237,112057,37680,N/A,183224,316193,281589,170416,52014,154104,21365,57287,73100,47614,243649,39008,402526,223637,6569,N/A,356717,64795,116740,418110,73149,N/A,50881,105236,12487,104294,461144,55213,21531,N/A,212668,160999,N/A,175538,6771,7648211
2021-03-21,82099,6582,N/A,121105,28924,821909,128921,131828,36015,8688,N/A,394742,121872,N/A,24412,26804,415287,137879,137475,89715,94268,112220,37698,N/A,183877,316398,282613,171245,52047,154702,21366,57328,73166,47659,243985,39120,402897,224103,6570,N/A,357457,64813,117002,419496,73185,N/A,50914,105555,12487,104597,461485,55216,21535,N/A,212801,161733,N/A,176205,6771,7662913
2021-03-22,82128,6582,N/A,121292,28933,824001,129014,131835,36027,8692,N/A,394777,121900,N/A,24412,26804,415746,137952,137491,89715,94270,112253,37708,N/A,184812,316448,282929,171689,52060,154953,21366,57331,73202,47659,244226,39208,402965,224335,6570,N/A,357508,64813,117046,420889,73215,N/A,50996,105663,12487,104598,461576,55219,21535,N/A,212958,162110,N/A,176386,6771,7671197
2021-03-23,82130,6582,N/A,121343,28939,824540,129022,131835,36027,8692,N/A,394789,121907,N/A,24412,26811,415953,138032,137501,89717,94271,112361,37719,N/A,185439,316836,283047,171916,52064,155048,21366,57332,73204,47671,244306,39233,403017,224459,6573,N/A,357528,64815,117121,421902,73216,N/A,51083,105724,12487,104648,461602,55229,21537,N/A,212963,162488,N/A,176440,6771,7675790
2021-03-24,82407,6584,N/A,121671,28939,825440,129034,131852,36035,8693,N/A,394800,121918,N/A,24448,26814,416360,138297,137517,89718,94273,112603,37761,N/A,186152,317276,283615,172359,52081,155496,21367,57332,73206,47673,244582,39290,403186,224816,6573,N/A,357646,64818,117380,422328,73332,N/A,51133,105753,12490,104965,461674,55233,21541,N/A,212986,162725,N/A,176816,6773,7683903
2021-03-25,82608,6584,N/A,121990,28939,826412,129042,131855,36044,8693,N/A,394810,121942,N/A,24466,26817,416609,138458,137531,89736,94276,112843,37769,N/A,186713,317646,284232,172801,52103,155607,21367,57348,73208,47673,244767,39295,403496,224980,6573,N/A,357828,64820,117480,422658,73473,N/A,51158,105791,12490,105210,461758,55233,21543,N/A,213023,162869,N/A,177164,6773,7690646
2021-03-26,82753,6588,N/A,122231,28946,827509,129056,131873,36065,8693,N/A,394881,121989,N/A,24478,26819,417089,138722,137556,89738,94303,113089,37817,N/A,187452,318131,285058,173191,52120,155785,21367,57373,73213,47674,244962,39305,404138,225300,6573,N/A,358063,64852,117706,423015,73597,N/A,51208,105875,12491,105625,461855,55235,21598,N/A,213050,162905,N/A,177601,6773,7699428
2021-03-27,82977,6588,N/A,122697,28952,828336,129066,131939,36066,8693,N/A,394959,122036,N/A,24491,26821,417488,138962,137666,89740,94337,113197,37862,N/A,188040,318429,286002,173795,52133,156000,21373,57380,73213,47674,245614,39325,404519,225510,6579,N/A,358303,64859,117879,423161,73660,N/A,51256,105889,12491,105822,462172,55235,21614,N/A,213073,163000,N/A,178069,6773,7707857
2021-03-28,83156,6589,N/A,123318,28959,829431,129094,131953,36066,8706,N/A,395023,122044,N/A,24491,26821,417836,139263,137774,89740,94337,113466,37901,N/A,188521,318593,286739,174212,52168,156156,21373,57397,73244,47674,245714,39334,404893,225769,6580,N/A,358443,64860,117964,423750,73704,N/A,51330,105898,12491,106181,462357,55239,21645,N/A,213091,163290,N/A,178430,6773,7715923
2021-03-29,83159,6590,N/A,123566,28961,829694,129112,131967,36067,8706,N/A,395039,122055,N/A,24491,26822,418029,139287,137786,89740,94341,113508,37901,N/A,188712,318721,286840,174287,52169,156191,21373,57397,73250,47675,245784,39334,404917,225793,6580,N/A,358570,64860,117992,423869,73719,N/A,51335,105900,12491,106190,462474,55240,21669,N/A,213096,163357,N/A,178515,6773,7718036
2021-03-30,83161,6595,N/A,123641,28961,830057,129118,132033,36067,8706,N/A,395077,122062,N/A,24491,26822,418107,139350,137787,89740,94342,113587,37901,N/A,188966,318975,286908,174312,52174,156200,21374,57397,73250,47675,245915,39336,404942,225796,6580,N/A,358593,64860,118012,423990,73719,N/A,51352,105901,12491,106207,462500,55240,21670,N/A,213133,163403,N/A,178573,6773,7719964
